order_item_id,order_id,product_id,quantity,unit_price,discount_amount,revenue,profit,return_status,return_reason
ITEM00041,ORD00023,PROD0073,1,399,150,249,-59,Not Returned,
ITEM00042,ORD00024,PROD0009,2,32999,0,65998,11536,Not Returned,
ITEM00043,ORD00025,PROD0056,1,1199,100,1099,316,Not Returned,
ITEM00044,ORD00026,PROD0043,1,1199,100,1099,221,Not Returned,
ITEM00045,ORD00026,PROD0048,1,1899,0,1899,271,Not Returned,
ITEM00046,ORD00026,PROD0016,2,59999,50,119948,16790,Not Returned,
ITEM00047,ORD00026,PROD0040,2,1299,50,2548,600,Not Returned,
ITEM00048,ORD00027,PROD0049,3,1899,0,5697,1941,Not Returned,
ITEM00049,ORD00028,PROD0002,1,57999,100,57899,18024,Not Returned,
ITEM00050,ORD00029,PROD0012,3,23999,250,71747,16508,Not Returned,
ITEM00051,ORD00030,PROD0001,1,64999,50,64949,13706,Not Returned,
ITEM00052,ORD00030,PROD0061,3,26999,250,80747,19451,Not Returned,
ITEM00053,ORD00030,PROD0023,1,5499,0,5499,1918,Not Returned,
ITEM00054,ORD00030,PROD0005,1,24999,0,24999,5569,Returned,Defective item
ITEM00055,ORD00031,PROD0079,3,559,100,1577,161,Returned,Damaged packaging
ITEM00056,ORD00031,PROD0001,1,64999,50,64949,13706,Returned,Defective item
ITEM00057,ORD00031,PROD0025,2,1499,50,2948,650,Returned,Wrong model received
ITEM00058,ORD00031,PROD0022,1,4299,150,4149,468,Returned,Damaged in transit
ITEM00059,ORD00032,PROD0066,1,149,150,0,-104,Returned,Allergic reaction
ITEM00060,ORD00033,PROD0005,3,24999,250,74747,16457,Not Returned,
ITEM00061,ORD00033,PROD0051,1,899,100,799,169,Not Returned,
ITEM00062,ORD00034,PROD0038,2,3999,100,7898,1734,Not Returned,
ITEM00063,ORD00034,PROD0084,1,149,0,149,47,Not Returned,
ITEM00064,ORD00035,PROD0040,1,1299,100,1199,225,Not Returned,
ITEM00065,ORD00035,PROD0042,1,999,0,999,190,Not Returned,
ITEM00066,ORD00036,PROD0019,1,64999,250,64749,14195,Not Returned,
ITEM00067,ORD00036,PROD0014,2,52999,250,105748,17200,Not Returned,
ITEM00068,ORD00036,PROD0058,1,34999,100,34899,5203,Not Returned,
ITEM00069,ORD00037,PROD0083,2,299,250,348,-56,Not Returned,
ITEM00070,ORD00038,PROD0027,2,1799,50,3548,1022,Not Returned,
ITEM00071,ORD00038,PROD0061,1,26999,0,26999,6567,Not Returned,
ITEM00072,ORD00039,PROD0033,2,2299,100,4498,1108,Not Returned,
ITEM00073,ORD00039,PROD0050,2,3199,100,6298,1930,Not Returned,
ITEM00074,ORD00039,PROD0024,2,1299,50,2548,848,Not Returned,
ITEM00075,ORD00040,PROD0042,2,999,250,1748,130,Not Returned,
ITEM00076,ORD00041,PROD0073,3,399,0,1197,273,Returned,Damaged packaging
ITEM00077,ORD00042,PROD0022,1,4299,50,4249,568,Not Returned,
ITEM00078,ORD00042,PROD0033,3,2299,0,6897,1812,Not Returned,
ITEM00079,ORD00042,PROD0054,1,2999,50,2949,872,Not Returned,
ITEM00080,ORD00043,PROD0054,2,2999,250,5748,1594,Returned,Quality issue
ITEM00081,ORD00043,PROD0005,2,24999,150,49848,10988,Returned,Damaged in transit
ITEM00082,ORD00044,PROD0014,1,52999,150,52849,8575,Returned,Wrong model received
ITEM00083,ORD00045,PROD0043,2,1199,250,2148,392,Not Returned,
ITEM00084,ORD00046,PROD0051,3,899,150,2547,657,Not Returned,
ITEM00085,ORD00047,PROD0056,1,1199,250,949,166,Not Returned,
ITEM00086,ORD00047,PROD0006,1,39999,100,39899,8392,Not Returned,
ITEM00087,ORD00048,PROD0053,1,10999,0,10999,3798,Not Returned,
ITEM00088,ORD00049,PROD0060,1,15499,50,15449,4423,Not Returned,
ITEM00089,ORD00049,PROD0078,2,279,0,558,84,Not Returned,
ITEM00090,ORD00049,PROD0074,1,649,50,599,84,Not Returned,
ITEM00091,ORD00050,PROD0005,1,24999,50,24949,5519,Returned,Wrong model received
ITEM00092,ORD00050,PROD0030,1,1199,100,1099,114,Not Returned,
ITEM00093,ORD00050,PROD0075,1,499,0,499,106,Not Returned,
ITEM00094,ORD00051,PROD0036,3,2499,0,7497,1776,Not Returned,
ITEM00095,ORD00051,PROD0069,1,549,250,299,-161,Not Returned,
ITEM00096,ORD00051,PROD0070,2,499,250,748,-8,Not Returned,
ITEM00097,ORD00052,PROD0077,1,145,150,0,-116,Not Returned,
ITEM00098,ORD00052,PROD0007,2,23999,50,47948,16138,Not Returned,
ITEM00099,ORD00053,PROD0050,1,3199,250,2949,765,Not Returned,
ITEM00100,ORD00053,PROD0072,2,999,0,1998,512,Not Returned,
ITEM00101,ORD00053,PROD0043,1,1199,100,1099,221,Returned,Color mismatch
ITEM00102,ORD00054,PROD0034,2,1899,100,3698,634,Returned,Color mismatch
ITEM00103,ORD00054,PROD0022,3,4299,0,12897,1854,Returned,Wrong model received
ITEM00104,ORD00054,PROD0038,1,3999,50,3949,867,Returned,Quality issue
ITEM00105,ORD00055,PROD0071,4,479,0,1916,612,Not Returned,
ITEM00106,ORD00055,PROD0082,3,249,0,747,156,Not Returned,
ITEM00107,ORD00055,PROD0009,4,32999,0,131996,23072,Not Returned,
ITEM00108,ORD00055,PROD0010,2,22999,50,45948,15112,Not Returned,
ITEM00109,ORD00056,PROD0015,1,54999,150,54849,14462,Not Returned,
ITEM00110,ORD00056,PROD0058,1,34999,0,34999,5303,Not Returned,
ITEM00111,ORD00056,PROD0044,1,2599,150,2449,626,Not Returned,
ITEM00112,ORD00056,PROD0016,1,59999,0,59999,8420,Not Returned,
ITEM00113,ORD00057,PROD0012,1,23999,100,23899,5486,Not Returned,
ITEM00114,ORD00058,PROD0033,3,2299,150,6747,1662,Not Returned,
ITEM00115,ORD00058,PROD0003,2,67999,0,135998,42128,Not Returned,
ITEM00116,ORD00059,PROD0021,2,1499,150,2848,618,Not Returned,
ITEM00117,ORD00059,PROD0019,4,64999,250,259746,57530,Not Returned,
ITEM00118,ORD00059,PROD0044,1,2599,100,2499,676,Not Returned,
ITEM00119,ORD00059,PROD0067,1,199,150,49,-91,Not Returned,
ITEM00120,ORD00060,PROD0022,1,4299,250,4049,368,Not Returned,
ITEM00121,ORD00061,PROD0009,2,32999,100,65898,11436,Not Returned,
ITEM00122,ORD00061,PROD0030,1,1199,50,1149,164,Not Returned,
ITEM00123,ORD00062,PROD0006,1,39999,0,39999,8492,Returned,Defective item
ITEM00124,ORD00063,PROD0003,2,67999,100,135898,42028,Not Returned,
ITEM00125,ORD00063,PROD0048,1,1899,50,1849,221,Not Returned,
ITEM00126,ORD00064,PROD0013,1,47999,150,47849,10839,Not Returned,
ITEM00127,ORD00065,PROD0076,1,179,150,29,-107,Not Returned,
ITEM00128,ORD00065,PROD0018,2,89999,50,179948,34064,Not Returned,
ITEM00129,ORD00066,PROD0082,1,249,100,149,-48,Not Returned,
ITEM00130,ORD00066,PROD0041,3,1599,0,4797,1596,Not Returned,
ITEM00131,ORD00066,PROD0032,2,1599,0,3198,502,Not Returned,
ITEM00132,ORD00067,PROD0020,2,61999,0,123998,19284,Not Returned,
ITEM00133,ORD00067,PROD0036,4,2499,50,9946,2318,Not Returned,
ITEM00134,ORD00067,PROD0044,1,2599,50,2549,726,Not Returned,
ITEM00135,ORD00068,PROD0053,1,10999,50,10949,3748,Returned,Quality issue
ITEM00136,ORD00068,PROD0003,1,67999,0,67999,21064,Returned,Wrong model received
ITEM00137,ORD00069,PROD0078,1,279,0,279,42,Not Returned,
ITEM00138,ORD00069,PROD0077,2,145,50,240,8,Not Returned,
ITEM00139,ORD00069,PROD0013,1,47999,0,47999,10989,Not Returned,
ITEM00140,ORD00070,PROD0007,1,23999,150,23849,7944,Not Returned,
ITEM00141,ORD00071,PROD0011,3,25999,150,77847,23988,Not Returned,
ITEM00142,ORD00071,PROD0071,1,479,150,329,3,Not Returned,
ITEM00143,ORD00071,PROD0074,2,649,0,1298,268,Not Returned,
ITEM00144,ORD00072,PROD0006,1,39999,50,39949,8442,Not Returned,
ITEM00145,ORD00072,PROD0040,1,1299,0,1299,325,Not Returned,
ITEM00146,ORD00072,PROD0054,3,2999,0,8997,2766,Not Returned,
ITEM00147,ORD00073,PROD0061,2,26999,100,53898,13034,Not Returned,
ITEM00148,ORD00074,PROD0076,3,179,0,537,129,Not Returned,
ITEM00149,ORD00075,PROD0022,1,4299,150,4149,468,Not Returned,
ITEM00150,ORD00076,PROD0003,1,67999,250,67749,20814,Not Returned,
ITEM00151,ORD00077,PROD0022,1,4299,100,4199,518,Returned,Damaged in transit
ITEM00152,ORD00077,PROD0066,1,149,250,0,-104,Not Returned,
ITEM00153,ORD00078,PROD0071,1,479,100,379,53,Not Returned,
ITEM00154,ORD00079,PROD0050,1,3199,150,3049,865,Not Returned,
ITEM00155,ORD00080,PROD0076,1,179,150,29,-107,Returned,Late delivery
ITEM00156,ORD00081,PROD0079,3,559,0,1677,261,Returned,Quality issue
ITEM00157,ORD00082,PROD0078,1,279,0,279,42,Not Returned,
ITEM00158,ORD00083,PROD0025,2,1499,250,2748,450,Not Returned,
ITEM00159,ORD00084,PROD0083,1,299,250,49,-153,Not Returned,
ITEM00160,ORD00085,PROD0030,2,1199,250,2148,178,Not Returned,
ITEM00161,ORD00085,PROD0032,1,1599,100,1499,151,Not Returned,
ITEM00162,ORD00086,PROD0028,1,1999,0,1999,461,Not Returned,
ITEM00163,ORD00087,PROD0015,1,54999,50,54949,14562,Returned,Wrong model received
ITEM00164,ORD00087,PROD0002,1,57999,0,57999,18124,Returned,Defective item
ITEM00165,ORD00088,PROD0042,2,999,250,1748,130,Not Returned,
ITEM00166,ORD00088,PROD0053,2,10999,250,21748,7346,Not Returned,
ITEM00167,ORD00088,PROD0049,1,1899,0,1899,647,Not Returned,
ITEM00168,ORD00089,PROD0032,1,1599,50,1549,201,Not Returned,
ITEM00169,ORD00089,PROD0063,1,28999,100,28899,4163,Not Returned,
ITEM00170,ORD00089,PROD0036,1,2499,0,2499,592,Not Returned,
ITEM00171,ORD00090,PROD0068,1,329,0,329,50,Not Returned,
ITEM00172,ORD00090,PROD0038,1,3999,50,3949,867,Not Returned,
ITEM00173,ORD00091,PROD0061,1,26999,100,26899,6467,Not Returned,
ITEM00174,ORD00091,PROD0068,1,329,250,79,-200,Not Returned,
ITEM00175,ORD00092,PROD0026,2,3499,50,6948,1878,Not Returned,
ITEM00176,ORD00093,PROD0035,1,1499,0,1499,405,Not Returned,
ITEM00177,ORD00093,PROD0021,1,1499,0,1499,384,Not Returned,
ITEM00178,ORD00093,PROD0062,2,32999,100,65898,10988,Not Returned,
ITEM00179,ORD00093,PROD0029,1,22999,150,22849,4071,Not Returned,
ITEM00180,ORD00094,PROD0019,1,64999,50,64949,14395,Not Returned,
ITEM00181,ORD00094,PROD0015,2,54999,50,109948,29174,Not Returned,
ITEM00182,ORD00095,PROD0040,1,1299,150,1149,175,Not Returned,
ITEM00183,ORD00095,PROD0052,1,2799,50,2749,922,Not Returned,
ITEM00184,ORD00096,PROD0072,3,999,150,2847,618,Returned,Allergic reaction
ITEM00185,ORD00097,PROD0068,1,329,0,329,50,Not Returned,
ITEM00186,ORD00097,PROD0001,1,64999,250,64749,13506,Not Returned,
ITEM00187,ORD00098,PROD0054,1,2999,100,2899,822,Not Returned,
ITEM00188,ORD00098,PROD0073,1,399,50,349,41,Not Returned,
ITEM00189,ORD00099,PROD0035,1,1499,250,1249,155,Returned,Wrong item received
ITEM00190,ORD00100,PROD0078,1,279,0,279,42,Returned,Quality issue
ITEM00191,ORD00100,PROD0073,1,399,0,399,91,Returned,Allergic reaction
ITEM00192,ORD00101,PROD0044,1,2599,0,2599,776,Not Returned,
ITEM00193,ORD00102,PROD0056,4,1199,0,4796,1664,Not Returned,
ITEM00194,ORD00103,PROD0014,3,52999,0,158997,26175,Not Returned,
ITEM00195,ORD00103,PROD0073,1,399,0,399,91,Not Returned,
ITEM00196,ORD00104,PROD0053,1,10999,250,10749,3548,Not Returned,
ITEM00197,ORD00105,PROD0071,2,479,0,958,306,Not Returned,
ITEM00198,ORD00105,PROD0057,1,31999,0,31999,9292,Returned,Installation issue
ITEM00199,ORD00106,PROD0053,2,10999,100,21898,7496,Not Returned,
ITEM00200,ORD00106,PROD0016,1,59999,0,59999,8420,Not Returned,
ITEM00201,ORD00106,PROD0036,1,2499,50,2449,542,Not Returned,
ITEM00202,ORD00107,PROD0081,1,399,250,149,-162,Not Returned,
ITEM00203,ORD00107,PROD0031,1,999,250,749,92,Not Returned,
ITEM00204,ORD00108,PROD0063,3,28999,0,86997,12789,Not Returned,
ITEM00205,ORD00108,PROD0028,1,1999,150,1849,311,Not Returned,
ITEM00206,ORD00108,PROD0053,1,10999,150,10849,3648,Not Returned,
ITEM00207,ORD00109,PROD0055,2,1799,50,3548,658,Returned,Wrong item received
ITEM00208,ORD00110,PROD0022,2,4299,250,8348,986,Not Returned,
ITEM00209,ORD00110,PROD0004,2,30999,0,61998,13134,Not Returned,
ITEM00210,ORD00111,PROD0006,2,39999,0,79998,16984,Not Returned,
ITEM00211,ORD00112,PROD0038,1,3999,250,3749,667,Not Returned,
ITEM00212,ORD00113,PROD0005,2,24999,250,49748,10888,Not Returned,
ITEM00213,ORD00113,PROD0016,2,59999,50,119948,16790,Not Returned,
ITEM00214,ORD00114,PROD0009,2,32999,0,65998,11536,Not Returned,
ITEM00215,ORD00115,PROD0001,1,64999,0,64999,13756,Returned,Wrong model received
ITEM00216,ORD00116,PROD0054,1,2999,0,2999,922,Not Returned,
ITEM00217,ORD00116,PROD0014,1,52999,0,52999,8725,Not Returned,
ITEM00218,ORD00117,PROD0056,1,1199,0,1199,416,Not Returned,
ITEM00219,ORD00118,PROD0072,3,999,150,2847,618,Not Returned,
ITEM00220,ORD00118,PROD0068,3,329,150,837,0,Not Returned,
ITEM00221,ORD00119,PROD0058,2,34999,0,69998,10606,Not Returned,
ITEM00222,ORD00119,PROD0021,1,1499,150,1349,234,Not Returned,
ITEM00223,ORD00119,PROD0077,1,145,50,95,-21,Not Returned,
ITEM00224,ORD00119,PROD0069,1,549,250,299,-161,Not Returned,
ITEM00225,ORD00120,PROD0026,1,3499,150,3349,814,Not Returned,
ITEM00226,ORD00120,PROD0052,1,2799,150,2649,822,Not Returned,
ITEM00227,ORD00120,PROD0038,2,3999,0,7998,1834,Not Returned,
ITEM00228,ORD00121,PROD0015,1,54999,250,54749,14362,Not Returned,
ITEM00229,ORD00121,PROD0072,2,999,0,1998,512,Not Returned,
ITEM00230,ORD00122,PROD0030,2,1199,0,2398,428,Not Returned,
ITEM00231,ORD00123,PROD0066,3,149,0,447,135,Not Returned,
ITEM00232,ORD00123,PROD0078,1,279,0,279,42,Not Returned,
ITEM00233,ORD00123,PROD0070,1,499,150,349,-29,Not Returned,
ITEM00234,ORD00124,PROD0034,1,1899,0,1899,367,Not Returned,
ITEM00235,ORD00125,PROD0006,3,39999,0,119997,25476,Not Returned,
ITEM00236,ORD00125,PROD0055,1,1799,0,1799,354,Not Returned,
ITEM00237,ORD00125,PROD0063,2,28999,0,57998,8526,Not Returned,
ITEM00238,ORD00126,PROD0080,1,579,250,329,-60,Not Returned,
ITEM00239,ORD00126,PROD0057,1,31999,50,31949,9242,Not Returned,
ITEM00240,ORD00127,PROD0044,1,2599,0,2599,776,Returned,Size issue
ITEM00241,ORD00127,PROD0004,2,30999,250,61748,12884,Returned,Defective item
ITEM00242,ORD00128,PROD0004,1,30999,250,30749,6317,Not Returned,
ITEM00243,ORD00128,PROD0011,1,25999,0,25999,8046,Not Returned,
ITEM00244,ORD00128,PROD0042,1,999,0,999,190,Not Returned,
ITEM00245,ORD00129,PROD0083,2,299,250,348,-56,Not Returned,
ITEM00246,ORD00129,PROD0048,1,1899,0,1899,271,Not Returned,
ITEM00247,ORD00129,PROD0008,1,19999,250,19749,3291,Not Returned,
ITEM00248,ORD00130,PROD0083,1,299,150,149,-53,Not Returned,
ITEM00249,ORD00130,PROD0038,2,3999,150,7848,1684,Not Returned,
ITEM00250,ORD00130,PROD0034,1,1899,150,1749,217,Not Returned,
ITEM00251,ORD00131,PROD0023,2,5499,50,10948,3786,Not Returned,
ITEM00252,ORD00132,PROD0041,1,1599,150,1449,382,Not Returned,
ITEM00253,ORD00132,PROD0049,1,1899,0,1899,647,Not Returned,
ITEM00254,ORD00133,PROD0007,1,23999,50,23949,8044,Not Returned,
ITEM00255,ORD00134,PROD0049,1,1899,50,1849,597,Returned,Quality issue
ITEM00256,ORD00134,PROD0045,1,2299,100,2199,549,Returned,Wrong item received
ITEM00257,ORD00134,PROD0082,1,249,0,249,52,Returned,Quality issue
ITEM00258,ORD00135,PROD0035,1,1499,50,1449,355,Not Returned,
ITEM00259,ORD00136,PROD0007,1,23999,0,23999,8094,Not Returned,
ITEM00260,ORD00137,PROD0049,1,1899,0,1899,647,Returned,Wrong item received
ITEM00261,ORD00137,PROD0006,1,39999,0,39999,8492,Returned,Wrong model received
ITEM00262,ORD00138,PROD0079,1,559,150,409,-63,Not Returned,
ITEM00263,ORD00139,PROD0080,1,579,0,579,190,Not Returned,
ITEM00264,ORD00139,PROD0082,1,249,0,249,52,Not Returned,
ITEM00265,ORD00139,PROD0068,1,329,150,179,-100,Not Returned,
ITEM00266,ORD00139,PROD0024,1,1299,150,1149,299,Not Returned,
ITEM00267,ORD00140,PROD0034,4,1899,250,7346,1218,Not Returned,
ITEM00268,ORD00141,PROD0061,1,26999,0,26999,6567,Not Returned,
ITEM00269,ORD00142,PROD0025,1,1499,0,1499,350,Not Returned,
ITEM00270,ORD00143,PROD0009,1,32999,100,32899,5668,Not Returned,
ITEM00271,ORD00144,PROD0022,1,4299,250,4049,368,Not Returned,
ITEM00272,ORD00145,PROD0053,1,10999,0,10999,3798,Not Returned,
ITEM00273,ORD00145,PROD0039,2,899,0,1798,334,Not Returned,
ITEM00274,ORD00146,PROD0068,1,329,50,279,0,Returned,Wrong item received
ITEM00275,ORD00146,PROD0056,1,1199,0,1199,416,Returned,Wrong item received
ITEM00276,ORD00147,PROD0081,1,399,50,349,38,Not Returned,
ITEM00277,ORD00148,PROD0048,1,1899,0,1899,271,Not Returned,
ITEM00278,ORD00148,PROD0038,2,3999,50,7948,1784,Not Returned,
ITEM00279,ORD00148,PROD0006,1,39999,250,39749,8242,Not Returned,
ITEM00280,ORD00149,PROD0025,4,1499,250,5746,1150,Not Returned,
ITEM00281,ORD00150,PROD0011,1,25999,50,25949,7996,Returned,Not as described
ITEM00282,ORD00151,PROD0038,1,3999,150,3849,767,Not Returned,
ITEM00283,ORD00151,PROD0066,1,149,0,149,45,Not Returned,
ITEM00284,ORD00152,PROD0014,1,52999,250,52749,8475,Not Returned,
ITEM00285,ORD00152,PROD0048,1,1899,0,1899,271,Not Returned,
ITEM00286,ORD00153,PROD0036,1,2499,250,2249,342,Not Returned,
ITEM00287,ORD00153,PROD0043,2,1199,0,2398,642,Not Returned,
ITEM00288,ORD00153,PROD0018,2,89999,50,179948,34064,Not Returned,
ITEM00289,ORD00154,PROD0027,2,1799,50,3548,1022,Not Returned,
ITEM00290,ORD00154,PROD0046,3,699,0,2097,549,Not Returned,
ITEM00291,ORD00154,PROD0025,1,1499,0,1499,350,Not Returned,
ITEM00292,ORD00155,PROD0077,1,145,100,45,-71,Not Returned,
ITEM00293,ORD00156,PROD0016,1,59999,0,59999,8420,Not Returned,
ITEM00294,ORD00156,PROD0070,1,499,250,249,-129,Not Returned,
ITEM00295,ORD00157,PROD0052,2,2799,0,5598,1944,Not Returned,
ITEM00296,ORD00158,PROD0053,3,10999,250,32747,11144,Not Returned,
ITEM00297,ORD00159,PROD0079,2,559,100,1018,74,Not Returned,
ITEM00298,ORD00160,PROD0050,1,3199,150,3049,865,Not Returned,
ITEM00299,ORD00161,PROD0071,1,479,0,479,153,Not Returned,
ITEM00300,ORD00161,PROD0068,1,329,0,329,50,Not Returned,
ITEM00301,ORD00161,PROD0002,4,57999,0,231996,72496,Not Returned,
ITEM00302,ORD00162,PROD0043,1,1199,0,1199,321,Not Returned,
ITEM00303,ORD00162,PROD0054,1,2999,0,2999,922,Not Returned,
ITEM00304,ORD00163,PROD0061,2,26999,100,53898,13034,Not Returned,
ITEM00305,ORD00164,PROD0037,2,2999,150,5848,1758,Not Returned,
ITEM00306,ORD00165,PROD0054,3,2999,150,8847,2616,Not Returned,
ITEM00307,ORD00166,PROD0051,2,899,50,1748,488,Not Returned,
ITEM00308,ORD00166,PROD0048,1,1899,50,1849,221,Not Returned,
ITEM00309,ORD00167,PROD0068,1,329,150,179,-100,Not Returned,
ITEM00310,ORD00167,PROD0082,1,249,150,99,-98,Not Returned,
ITEM00311,ORD00167,PROD0074,2,649,150,1148,118,Not Returned,
ITEM00312,ORD00168,PROD0025,2,1499,150,2848,550,Not Returned,
ITEM00313,ORD00168,PROD0022,1,4299,50,4249,568,Not Returned,
ITEM00314,ORD00168,PROD0021,1,1499,0,1499,384,Not Returned,
ITEM00315,ORD00168,PROD0028,1,1999,250,1749,211,Not Returned,
ITEM00316,ORD00169,PROD0067,1,199,250,0,-140,Not Returned,
ITEM00317,ORD00170,PROD0047,2,1099,50,2148,446,Not Returned,
ITEM00318,ORD00171,PROD0051,1,899,250,649,19,Not Returned,
ITEM00319,ORD00172,PROD0015,1,54999,0,54999,14612,Not Returned,
ITEM00320,ORD00172,PROD0017,3,57999,0,173997,40800,Not Returned,
ITEM00321,ORD00173,PROD0050,1,3199,150,3049,865,Not Returned,
ITEM00322,ORD00174,PROD0004,1,30999,250,30749,6317,Not Returned,
ITEM00323,ORD00175,PROD0042,3,999,0,2997,570,Not Returned,
ITEM00324,ORD00176,PROD0028,1,1999,50,1949,411,Not Returned,
ITEM00325,ORD00177,PROD0066,1,149,0,149,45,Not Returned,
ITEM00326,ORD00177,PROD0071,2,479,100,858,206,Not Returned,
ITEM00327,ORD00177,PROD0024,2,1299,0,2598,898,Not Returned,
ITEM00328,ORD00178,PROD0034,1,1899,150,1749,217,Returned,Wrong item received
ITEM00329,ORD00178,PROD0038,2,3999,50,7948,1784,Not Returned,
ITEM00330,ORD00178,PROD0006,1,39999,250,39749,8242,Not Returned,
ITEM00331,ORD00178,PROD0015,2,54999,150,109848,29074,Not Returned,
ITEM00332,ORD00179,PROD0030,2,1199,150,2248,278,Not Returned,
ITEM00333,ORD00180,PROD0007,2,23999,100,47898,16088,Not Returned,
ITEM00334,ORD00180,PROD0014,1,52999,0,52999,8725,Not Returned,
ITEM00335,ORD00181,PROD0075,1,499,0,499,106,Not Returned,
ITEM00336,ORD00181,PROD0009,1,32999,50,32949,5718,Not Returned,
ITEM00337,ORD00181,PROD0038,1,3999,150,3849,767,Not Returned,
ITEM00338,ORD00181,PROD0037,2,2999,250,5748,1658,Not Returned,
ITEM00339,ORD00182,PROD0049,2,1899,250,3548,1044,Not Returned,
ITEM00340,ORD00182,PROD0038,2,3999,150,7848,1684,Not Returned,
ITEM00341,ORD00183,PROD0059,3,49999,50,149947,31567,Not Returned,
ITEM00342,ORD00183,PROD0012,1,23999,50,23949,5536,Not Returned,
ITEM00343,ORD00184,PROD0082,1,249,50,199,2,Not Returned,
ITEM00344,ORD00184,PROD0073,1,399,150,249,-59,Not Returned,
ITEM00345,ORD00185,PROD0025,3,1499,0,4497,1050,Returned,Wrong model received
ITEM00346,ORD00185,PROD0023,2,5499,0,10998,3836,Returned,Damaged in transit
ITEM00347,ORD00186,PROD0056,1,1199,0,1199,416,Not Returned,
ITEM00348,ORD00186,PROD0052,2,2799,150,5448,1794,Not Returned,
ITEM00349,ORD00187,PROD0016,1,59999,100,59899,8320,Returned,Defective item
ITEM00350,ORD00188,PROD0023,1,5499,250,5249,1668,Not Returned,
ITEM00351,ORD00188,PROD0028,1,1999,150,1849,311,Not Returned,
ITEM00352,ORD00189,PROD0078,3,279,250,587,-124,Not Returned,
ITEM00353,ORD00190,PROD0018,2,89999,50,179948,34064,Not Returned,
ITEM00354,ORD00190,PROD0072,3,999,0,2997,768,Not Returned,
ITEM00355,ORD00190,PROD0003,3,67999,150,203847,63042,Not Returned,
ITEM00356,ORD00190,PROD0037,1,2999,150,2849,804,Not Returned,
ITEM00357,ORD00191,PROD0052,2,2799,150,5448,1794,Not Returned,
ITEM00358,ORD00191,PROD0076,1,179,50,129,-7,Not Returned,
ITEM00359,ORD00192,PROD0074,1,649,250,399,-116,Not Returned,
ITEM00360,ORD00192,PROD0049,2,1899,0,3798,1294,Not Returned,
