delivery_id,order_id,delivery_partner,expected_delivery_date,actual_delivery_date,delivery_status,delay_days,delivery_rating
DEL00049,ORD00049,Ecom Express,2024-04-21,,Processing,,
DEL00050,ORD00050,Bluedart,2024-06-23,2024-06-25,Delayed,2.0,4.0
DEL00051,ORD00051,Ecom Express,2024-04-20,,Cancelled,0.0,
DEL00052,ORD00052,Bluedart,2024-06-12,2024-06-12,On Time,0.0,5.0
DEL00053,ORD00053,Bluedart,2024-12-20,2024-12-21,Delayed,1.0,4.0
DEL00054,ORD00054,Bluedart,2024-10-22,2024-10-22,On Time,0.0,2.0
DEL00055,ORD00055,Ecom Express,2024-06-25,,Processing,,
DEL00056,ORD00056,Ecom Express,2024-09-02,,Processing,,
DEL00057,ORD00057,Ekart Logistics,2024-09-05,2024-09-05,On Time,0.0,4.0
DEL00058,ORD00058,Ekart Logistics,2024-08-31,,Processing,,
DEL00059,ORD00059,Delhivery,2024-09-26,2024-09-26,On Time,0.0,3.0
DEL00060,ORD00060,Bluedart,2024-01-13,2024-01-13,On Time,0.0,3.0
DEL00061,ORD00061,Ekart Logistics,2024-03-23,2024-03-24,Delayed,1.0,2.0
DEL00062,ORD00062,Xpressbees,2024-11-21,2024-11-21,On Time,0.0,3.0
DEL00063,ORD00063,Xpressbees,2024-07-23,2024-07-23,On Time,0.0,4.0
DEL00064,ORD00064,Delhivery,2024-06-17,,Cancelled,0.0,
DEL00065,ORD00065,Xpressbees,2024-02-20,2024-02-20,On Time,0.0,5.0
DEL00066,ORD00066,Xpressbees,2024-06-07,2024-06-07,On Time,0.0,5.0
DEL00067,ORD00067,Bluedart,2024-07-12,,Processing,,
DEL00068,ORD00068,Bluedart,2024-08-17,2024-08-18,Delayed,1.0,3.0
DEL00069,ORD00069,Xpressbees,2024-03-21,2024-03-22,Delayed,1.0,2.0
DEL00070,ORD00070,Delhivery,2024-10-01,2024-10-01,On Time,0.0,2.0
DEL00071,ORD00071,Bluedart,2024-02-24,,Processing,,
DEL00072,ORD00072,Xpressbees,2024-01-24,2024-01-24,On Time,0.0,1.0
DEL00073,ORD00073,Ecom Express,2024-03-04,2024-03-05,Delayed,1.0,1.0
DEL00074,ORD00074,Bluedart,2024-11-04,,Processing,,
DEL00075,ORD00075,Delhivery,2024-01-26,2024-01-27,Delayed,1.0,1.0
DEL00076,ORD00076,Delhivery,2024-06-13,,Cancelled,0.0,
DEL00077,ORD00077,Bluedart,2024-04-12,2024-04-15,Delayed,3.0,3.0
DEL00078,ORD00078,Ekart Logistics,2024-08-19,,Cancelled,0.0,
DEL00079,ORD00079,Xpressbees,2024-03-26,2024-03-29,Delayed,3.0,3.0
DEL00080,ORD00080,Bluedart,2024-10-17,2024-10-17,On Time,0.0,2.0
DEL00081,ORD00081,Xpressbees,2024-06-30,2024-07-01,Delayed,1.0,5.0
DEL00082,ORD00082,Delhivery,2024-12-28,,Processing,,
DEL00083,ORD00083,Bluedart,2024-04-04,2024-04-06,Delayed,2.0,2.0
DEL00084,ORD00084,Xpressbees,2024-10-06,2024-10-09,Delayed,3.0,5.0
DEL00085,ORD00085,Ekart Logistics,2024-09-01,,Cancelled,0.0,
DEL00086,ORD00086,Delhivery,2024-02-02,2024-02-04,Delayed,2.0,4.0
DEL00087,ORD00087,Bluedart,2024-12-28,2024-12-28,On Time,0.0,1.0
DEL00088,ORD00088,Ecom Express,2024-06-15,2024-06-15,On Time,0.0,3.0
DEL00089,ORD00089,Ekart Logistics,2024-12-15,,Processing,,
DEL00090,ORD00090,Ecom Express,2024-03-13,2024-03-13,On Time,0.0,5.0
DEL00091,ORD00091,Xpressbees,2024-06-13,,Cancelled,0.0,
DEL00092,ORD00092,Ekart Logistics,2024-05-01,2024-05-01,On Time,0.0,5.0
DEL00093,ORD00093,Delhivery,2024-04-09,,Cancelled,0.0,
DEL00094,ORD00094,Bluedart,2024-09-11,2024-09-11,On Time,0.0,1.0
DEL00095,ORD00095,Bluedart,2024-06-30,2024-06-30,On Time,0.0,5.0
DEL00096,ORD00096,Xpressbees,2024-07-02,2024-07-03,Delayed,1.0,2.0
DEL00097,ORD00097,Bluedart,2024-07-31,,Processing,,
DEL00098,ORD00098,Ekart Logistics,2024-12-04,2024-12-04,On Time,0.0,3.0
DEL00099,ORD00099,Bluedart,2024-07-26,2024-07-30,Delayed,4.0,2.0
DEL00100,ORD00100,Bluedart,2024-05-06,2024-05-06,On Time,0.0,2.0
DEL00101,ORD00101,Delhivery,2024-02-09,2024-02-09,On Time,0.0,5.0
DEL00102,ORD00102,Delhivery,2024-08-13,,Processing,,
DEL00103,ORD00103,Xpressbees,2024-10-09,,Cancelled,0.0,
DEL00104,ORD00104,Ekart Logistics,2024-12-11,2024-12-12,Delayed,1.0,3.0
DEL00105,ORD00105,Xpressbees,2024-11-04,2024-11-06,Delayed,2.0,5.0
DEL00106,ORD00106,Ecom Express,2024-08-19,2024-08-19,On Time,0.0,4.0
DEL00107,ORD00107,Xpressbees,2024-11-04,2024-11-04,On Time,0.0,2.0
DEL00108,ORD00108,Xpressbees,2024-12-01,,Cancelled,0.0,
DEL00109,ORD00109,Xpressbees,2024-03-16,2024-03-16,On Time,0.0,1.0
DEL00110,ORD00110,Bluedart,2024-03-22,2024-03-26,Delayed,4.0,2.0
DEL00111,ORD00111,Bluedart,2024-10-28,2024-10-30,Delayed,2.0,1.0
DEL00112,ORD00112,Delhivery,2024-06-18,2024-06-19,Delayed,1.0,2.0
DEL00113,ORD00113,Ekart Logistics,2024-07-01,2024-07-03,Delayed,2.0,2.0
DEL00114,ORD00114,Ekart Logistics,2024-07-30,,Processing,,
DEL00115,ORD00115,Xpressbees,2024-07-11,2024-07-11,On Time,0.0,3.0
DEL00116,ORD00116,Xpressbees,2024-10-16,,Processing,,
DEL00117,ORD00117,Ekart Logistics,2024-01-20,2024-01-21,Delayed,1.0,2.0
DEL00118,ORD00118,Bluedart,2024-07-23,,Cancelled,0.0,
DEL00119,ORD00119,Ekart Logistics,2024-07-28,2024-07-31,Delayed,3.0,3.0
DEL00120,ORD00120,Xpressbees,2024-12-10,2024-12-10,On Time,0.0,1.0
DEL00121,ORD00121,Delhivery,2024-10-16,2024-10-17,Delayed,1.0,4.0
DEL00122,ORD00122,Ekart Logistics,2024-05-31,,Processing,,
DEL00123,ORD00123,Bluedart,2024-02-10,,Cancelled,0.0,
DEL00124,ORD00124,Bluedart,2024-09-08,,Cancelled,0.0,
DEL00125,ORD00125,Ecom Express,2024-03-14,,Cancelled,0.0,
DEL00126,ORD00126,Ecom Express,2024-11-12,2024-11-15,Delayed,3.0,2.0
DEL00127,ORD00127,Ekart Logistics,2024-08-11,2024-08-13,Delayed,2.0,3.0
DEL00128,ORD00128,Ecom Express,2024-05-01,2024-05-01,On Time,0.0,5.0
DEL00129,ORD00129,Ecom Express,2024-10-27,2024-10-27,On Time,0.0,2.0
DEL00130,ORD00130,Bluedart,2024-05-20,2024-05-20,On Time,0.0,4.0
DEL00131,ORD00131,Xpressbees,2024-10-22,2024-10-22,On Time,0.0,1.0
DEL00132,ORD00132,Delhivery,2024-09-10,,Cancelled,0.0,
DEL00133,ORD00133,Ekart Logistics,2024-09-30,,Processing,,
DEL00134,ORD00134,Xpressbees,2024-02-17,2024-02-18,Delayed,1.0,2.0
DEL00135,ORD00135,Ekart Logistics,2024-11-22,,Cancelled,0.0,
DEL00136,ORD00136,Delhivery,2024-10-05,,Processing,,
DEL00137,ORD00137,Ekart Logistics,2024-07-01,2024-07-01,On Time,0.0,3.0
DEL00138,ORD00138,Ecom Express,2024-09-23,2024-09-26,Delayed,3.0,5.0
DEL00139,ORD00139,Delhivery,2024-06-05,2024-06-08,Delayed,3.0,2.0
DEL00140,ORD00140,Bluedart,2024-11-07,,Cancelled,0.0,
DEL00141,ORD00141,Delhivery,2024-05-18,2024-05-18,On Time,0.0,2.0
DEL00142,ORD00142,Bluedart,2024-10-23,2024-10-25,Delayed,2.0,4.0
DEL00143,ORD00143,Xpressbees,2024-01-21,2024-01-21,On Time,0.0,5.0
DEL00144,ORD00144,Xpressbees,2024-09-18,2024-09-18,On Time,0.0,4.0
DEL00145,ORD00145,Ecom Express,2024-11-17,2024-11-17,On Time,0.0,4.0
DEL00146,ORD00146,Xpressbees,2024-03-04,2024-03-04,On Time,0.0,5.0
DEL00147,ORD00147,Bluedart,2024-03-20,,Cancelled,0.0,
DEL00148,ORD00148,Delhivery,2024-05-17,,Processing,,
DEL00149,ORD00149,Ecom Express,2024-10-02,,Processing,,
DEL00150,ORD00150,Bluedart,2024-03-21,2024-03-21,On Time,0.0,3.0
DEL00151,ORD00151,Delhivery,2024-08-05,,Processing,,
DEL00152,ORD00152,Ekart Logistics,2024-08-19,,Cancelled,0.0,
DEL00153,ORD00153,Bluedart,2024-06-29,2024-06-29,On Time,0.0,4.0
DEL00154,ORD00154,Delhivery,2024-03-29,2024-03-29,On Time,0.0,5.0
DEL00155,ORD00155,Xpressbees,2024-09-07,,Cancelled,0.0,
DEL00156,ORD00156,Delhivery,2025-01-01,2025-01-01,On Time,0.0,1.0
DEL00157,ORD00157,Delhivery,2024-09-30,,Processing,,
DEL00158,ORD00158,Ecom Express,2024-08-19,2024-08-19,On Time,0.0,1.0
DEL00159,ORD00159,Ecom Express,2024-01-26,2024-01-26,On Time,0.0,1.0
DEL00160,ORD00160,Bluedart,2024-12-03,,Processing,,
DEL00161,ORD00161,Bluedart,2024-05-23,,Processing,,
DEL00162,ORD00162,Ekart Logistics,2024-10-31,2024-11-04,Delayed,4.0,4.0
DEL00163,ORD00163,Delhivery,2024-05-06,,Cancelled,0.0,
DEL00164,ORD00164,Ekart Logistics,2024-12-16,,Cancelled,0.0,
DEL00165,ORD00165,Delhivery,2024-01-12,,Cancelled,0.0,
DEL00166,ORD00166,Xpressbees,2024-07-31,2024-07-31,On Time,0.0,5.0
DEL00167,ORD00167,Ecom Express,2024-06-30,2024-07-02,Delayed,2.0,4.0
DEL00168,ORD00168,Ecom Express,2024-01-23,2024-01-24,Delayed,1.0,1.0
DEL00169,ORD00169,Ekart Logistics,2024-12-09,,Processing,,
DEL00170,ORD00170,Delhivery,2024-03-09,,Cancelled,0.0,
DEL00171,ORD00171,Bluedart,2024-03-11,2024-03-16,Delayed,5.0,4.0
DEL00172,ORD00172,Xpressbees,2024-04-10,2024-04-11,Delayed,1.0,1.0
DEL00173,ORD00173,Ekart Logistics,2024-02-13,,Cancelled,0.0,
DEL00174,ORD00174,Xpressbees,2024-08-12,,Cancelled,0.0,
DEL00175,ORD00175,Xpressbees,2024-02-12,2024-02-13,Delayed,1.0,4.0
DEL00176,ORD00176,Xpressbees,2024-06-22,2024-06-26,Delayed,4.0,5.0
DEL00177,ORD00177,Bluedart,2024-08-15,2024-08-15,On Time,0.0,2.0
DEL00178,ORD00178,Bluedart,2024-07-25,2024-07-25,On Time,0.0,3.0
DEL00179,ORD00179,Bluedart,2024-10-10,,Processing,,
DEL00180,ORD00180,Ekart Logistics,2024-11-27,2024-11-27,On Time,0.0,4.0
DEL00181,ORD00181,Ecom Express,2024-02-28,2024-02-28,On Time,0.0,2.0
DEL00182,ORD00182,Ekart Logistics,2024-05-12,,Processing,,
DEL00183,ORD00183,Delhivery,2024-03-22,,Cancelled,0.0,
DEL00184,ORD00184,Ecom Express,2024-07-25,2024-07-27,Delayed,2.0,3.0
DEL00185,ORD00185,Bluedart,2024-07-26,2024-07-26,On Time,0.0,2.0
DEL00186,ORD00186,Delhivery,2024-09-13,2024-09-13,On Time,0.0,1.0
DEL00187,ORD00187,Delhivery,2024-02-12,2024-02-12,On Time,0.0,5.0
DEL00188,ORD00188,Xpressbees,2024-12-23,,Processing,,
DEL00189,ORD00189,Xpressbees,2024-10-04,2024-10-05,Delayed,1.0,2.0
DEL00190,ORD00190,Xpressbees,2024-07-26,2024-07-28,Delayed,2.0,5.0
DEL00191,ORD00191,Ekart Logistics,2024-06-29,2024-06-29,On Time,0.0,5.0
DEL00192,ORD00192,Xpressbees,2024-04-20,2024-04-20,On Time,0.0,5.0
DEL00193,ORD00193,Ecom Express,2024-04-09,2024-04-09,On Time,0.0,5.0
DEL00194,ORD00194,Ecom Express,2024-12-25,2024-12-26,Delayed,1.0,2.0
DEL00195,ORD00195,Xpressbees,2024-08-18,,Cancelled,0.0,
DEL00196,ORD00196,Ecom Express,2024-04-13,2024-04-15,Delayed,2.0,5.0
DEL00197,ORD00197,Bluedart,2024-02-05,,Processing,,
DEL00198,ORD00198,Delhivery,2024-08-23,2024-08-23,On Time,0.0,4.0
DEL00199,ORD00199,Xpressbees,2024-06-24,,Processing,,
DEL00200,ORD00200,Bluedart,2024-04-21,,Processing,,
DEL00201,ORD00201,Xpressbees,2024-03-22,,Cancelled,0.0,
DEL00202,ORD00202,Ekart Logistics,2024-03-18,2024-03-19,Delayed,1.0,3.0
DEL00203,ORD00203,Ecom Express,2024-01-29,2024-01-31,Delayed,2.0,3.0
DEL00204,ORD00204,Xpressbees,2024-11-25,2024-11-25,On Time,0.0,4.0
DEL00205,ORD00205,Ecom Express,2024-11-14,2024-11-14,On Time,0.0,5.0
DEL00206,ORD00206,Ecom Express,2024-09-16,2024-09-17,Delayed,1.0,3.0
DEL00207,ORD00207,Ecom Express,2024-08-13,2024-08-15,Delayed,2.0,2.0
DEL00208,ORD00208,Delhivery,2024-12-21,2024-12-24,Delayed,3.0,3.0
DEL00209,ORD00209,Delhivery,2024-01-31,2024-02-01,Delayed,1.0,3.0
DEL00210,ORD00210,Bluedart,2024-03-06,2024-03-06,On Time,0.0,4.0
DEL00211,ORD00211,Ecom Express,2024-12-28,2024-12-29,Delayed,1.0,5.0
DEL00212,ORD00212,Ekart Logistics,2024-10-31,2024-11-02,Delayed,2.0,5.0
DEL00213,ORD00213,Ekart Logistics,2024-11-14,2024-11-14,On Time,0.0,2.0
DEL00214,ORD00214,Bluedart,2024-02-15,2024-02-15,On Time,0.0,1.0
DEL00215,ORD00215,Ecom Express,2025-01-01,,Cancelled,0.0,
DEL00216,ORD00216,Ekart Logistics,2024-09-04,,Cancelled,0.0,
DEL00217,ORD00217,Ekart Logistics,2024-11-25,2024-11-27,Delayed,2.0,4.0
DEL00218,ORD00218,Bluedart,2024-04-01,2024-04-01,On Time,0.0,5.0
DEL00219,ORD00219,Xpressbees,2024-09-15,2024-09-16,Delayed,1.0,3.0
DEL00220,ORD00220,Delhivery,2024-07-03,2024-07-03,On Time,0.0,5.0
DEL00221,ORD00221,Ecom Express,2024-04-11,2024-04-11,On Time,0.0,4.0
DEL00222,ORD00222,Delhivery,2024-10-10,2024-10-10,On Time,0.0,3.0
DEL00223,ORD00223,Bluedart,2024-11-21,,Cancelled,0.0,
DEL00224,ORD00224,Delhivery,2024-04-14,2024-04-14,On Time,0.0,3.0
DEL00225,ORD00225,Bluedart,2024-09-15,2024-09-15,On Time,0.0,4.0
DEL00226,ORD00226,Ecom Express,2024-01-31,,Cancelled,0.0,
DEL00227,ORD00227,Bluedart,2024-08-12,2024-08-12,On Time,0.0,1.0
DEL00228,ORD00228,Ekart Logistics,2024-08-25,2024-08-25,On Time,0.0,2.0
DEL00229,ORD00229,Bluedart,2024-10-07,2024-10-08,Delayed,1.0,4.0
DEL00230,ORD00230,Xpressbees,2024-09-23,2024-09-26,Delayed,3.0,4.0
DEL00231,ORD00231,Xpressbees,2024-08-19,2024-08-20,Delayed,1.0,3.0
DEL00232,ORD00232,Bluedart,2024-12-17,2024-12-18,Delayed,1.0,2.0
DEL00233,ORD00233,Ekart Logistics,2024-04-29,2024-05-02,Delayed,3.0,2.0
DEL00234,ORD00234,Ecom Express,2024-04-18,2024-04-18,On Time,0.0,1.0
DEL00235,ORD00235,Ekart Logistics,2024-11-01,2024-11-01,On Time,0.0,1.0
DEL00236,ORD00236,Delhivery,2024-04-24,2024-04-26,Delayed,2.0,1.0
DEL00237,ORD00237,Xpressbees,2024-07-12,2024-07-12,On Time,0.0,4.0
DEL00238,ORD00238,Delhivery,2024-11-21,2024-11-21,On Time,0.0,5.0
DEL00239,ORD00239,Delhivery,2024-03-13,2024-03-16,Delayed,3.0,3.0
DEL00240,ORD00240,Ecom Express,2024-03-02,,Processing,,
DEL00241,ORD00241,Ecom Express,2024-04-03,,Processing,,
DEL00242,ORD00242,Ekart Logistics,2024-11-11,2024-11-14,Delayed,3.0,4.0
DEL00243,ORD00243,Bluedart,2024-05-04,2024-05-04,On Time,0.0,5.0
DEL00244,ORD00244,Xpressbees,2024-04-23,2024-04-25,Delayed,2.0,1.0
DEL00245,ORD00245,Ecom Express,2024-01-10,,Cancelled,0.0,
DEL00246,ORD00246,Xpressbees,2024-05-10,2024-05-10,On Time,0.0,3.0
DEL00247,ORD00247,Ekart Logistics,2024-11-05,2024-11-05,On Time,0.0,4.0
DEL00248,ORD00248,Delhivery,2024-01-27,2024-01-27,On Time,0.0,3.0
DEL00249,ORD00249,Xpressbees,2024-07-24,2024-07-25,Delayed,1.0,2.0
DEL00250,ORD00250,Delhivery,2024-05-05,2024-05-05,On Time,0.0,4.0
DEL00251,ORD00251,Xpressbees,2024-08-03,2024-08-03,On Time,0.0,5.0
DEL00252,ORD00252,Xpressbees,2024-05-06,,Cancelled,0.0,
DEL00253,ORD00253,Ekart Logistics,2024-12-13,2024-12-13,On Time,0.0,1.0
DEL00254,ORD00254,Delhivery,2024-10-26,,Cancelled,0.0,
DEL00255,ORD00255,Ekart Logistics,2024-03-14,,Processing,,
DEL00256,ORD00256,Delhivery,2024-11-19,2024-11-19,On Time,0.0,4.0
DEL00257,ORD00257,Ekart Logistics,2024-07-19,,Cancelled,0.0,
DEL00258,ORD00258,Xpressbees,2024-06-02,2024-06-02,On Time,0.0,4.0
DEL00259,ORD00259,Ekart Logistics,2024-10-08,2024-10-08,On Time,0.0,5.0
DEL00260,ORD00260,Bluedart,2024-11-17,2024-11-21,Delayed,4.0,1.0
DEL00261,ORD00261,Xpressbees,2024-07-08,2024-07-08,On Time,0.0,5.0
DEL00262,ORD00262,Delhivery,2024-08-28,2024-08-28,On Time,0.0,5.0
DEL00263,ORD00263,Ekart Logistics,2024-04-04,,Cancelled,0.0,
DEL00264,ORD00264,Ecom Express,2024-04-16,2024-04-17,Delayed,1.0,4.0
DEL00265,ORD00265,Delhivery,2024-03-01,,Cancelled,0.0,
DEL00266,ORD00266,Ecom Express,2024-10-29,,Processing,,
DEL00267,ORD00267,Ekart Logistics,2024-04-27,2024-04-27,On Time,0.0,4.0
DEL00268,ORD00268,Xpressbees,2024-12-17,2024-12-19,Delayed,2.0,3.0
DEL00269,ORD00269,Bluedart,2024-07-15,2024-07-16,Delayed,1.0,5.0
DEL00270,ORD00270,Bluedart,2024-09-28,,Processing,,
DEL00271,ORD00271,Ekart Logistics,2024-10-03,,Cancelled,0.0,
DEL00272,ORD00272,Xpressbees,2024-07-11,,Processing,,
DEL00273,ORD00273,Ecom Express,2024-02-17,2024-02-17,On Time,0.0,3.0
DEL00274,ORD00274,Ecom Express,2024-02-16,2024-02-17,Delayed,1.0,3.0
DEL00275,ORD00275,Ekart Logistics,2024-12-28,2024-12-28,On Time,0.0,2.0
DEL00276,ORD00276,Ekart Logistics,2024-09-25,,Cancelled,0.0,
DEL00277,ORD00277,Ekart Logistics,2024-12-17,2024-12-17,On Time,0.0,4.0
DEL00278,ORD00278,Ecom Express,2024-08-09,2024-08-09,On Time,0.0,4.0
DEL00279,ORD00279,Xpressbees,2024-02-05,2024-02-06,Delayed,1.0,1.0
DEL00280,ORD00280,Ekart Logistics,2024-06-25,2024-06-26,Delayed,1.0,3.0
DEL00281,ORD00281,Ecom Express,2024-06-22,2024-06-24,Delayed,2.0,3.0
DEL00282,ORD00282,Ecom Express,2024-10-19,2024-10-19,On Time,0.0,5.0
DEL00283,ORD00283,Bluedart,2024-05-03,2024-05-04,Delayed,1.0,1.0
DEL00284,ORD00284,Xpressbees,2024-01-28,2024-02-01,Delayed,4.0,1.0
DEL00285,ORD00285,Delhivery,2024-04-02,2024-04-05,Delayed,3.0,4.0
DEL00286,ORD00286,Xpressbees,2024-06-02,2024-06-04,Delayed,2.0,2.0
DEL00287,ORD00287,Ekart Logistics,2024-12-13,,Processing,,
DEL00288,ORD00288,Bluedart,2024-03-02,2024-03-02,On Time,0.0,3.0
DEL00289,ORD00289,Bluedart,2024-08-16,2024-08-18,Delayed,2.0,1.0
DEL00290,ORD00290,Ekart Logistics,2024-10-20,,Cancelled,0.0,
DEL00291,ORD00291,Bluedart,2024-07-02,2024-07-03,Delayed,1.0,4.0
DEL00292,ORD00292,Bluedart,2024-03-27,2024-03-27,On Time,0.0,5.0
DEL00293,ORD00293,Ecom Express,2024-07-29,2024-07-29,On Time,0.0,4.0
DEL00294,ORD00294,Delhivery,2024-03-24,2024-03-28,Delayed,4.0,2.0
DEL00295,ORD00295,Delhivery,2024-06-05,2024-06-06,Delayed,1.0,5.0
DEL00296,ORD00296,Ecom Express,2024-03-20,,Processing,,
DEL00297,ORD00297,Bluedart,2024-02-29,,Cancelled,0.0,
DEL00298,ORD00298,Delhivery,2024-12-20,2024-12-20,On Time,0.0,2.0
DEL00299,ORD00299,Ecom Express,2024-07-26,2024-07-26,On Time,0.0,5.0
DEL00300,ORD00300,Delhivery,2024-02-20,2024-02-20,On Time,0.0,3.0
DEL00301,ORD00301,Delhivery,2024-04-11,2024-04-11,On Time,0.0,2.0
DEL00302,ORD00302,Delhivery,2024-01-19,2024-01-23,Delayed,4.0,2.0
DEL00303,ORD00303,Bluedart,2024-02-21,2024-02-23,Delayed,2.0,5.0
DEL00304,ORD00304,Delhivery,2024-06-13,2024-06-13,On Time,0.0,1.0
DEL00305,ORD00305,Ecom Express,2024-07-28,2024-07-28,On Time,0.0,1.0
DEL00306,ORD00306,Bluedart,2024-07-13,2024-07-13,On Time,0.0,4.0
DEL00307,ORD00307,Ekart Logistics,2024-06-12,2024-06-12,On Time,0.0,4.0
DEL00308,ORD00308,Bluedart,2024-08-20,,Cancelled,0.0,
DEL00309,ORD00309,Ekart Logistics,2024-03-30,,Processing,,
DEL00310,ORD00310,Bluedart,2024-03-19,,Processing,,
DEL00311,ORD00311,Ecom Express,2024-06-08,2024-06-10,Delayed,2.0,3.0
DEL00312,ORD00312,Ecom Express,2024-07-14,2024-07-14,On Time,0.0,1.0
DEL00313,ORD00313,Bluedart,2024-05-21,2024-05-21,On Time,0.0,4.0
DEL00314,ORD00314,Bluedart,2025-01-05,2025-01-05,On Time,0.0,5.0
DEL00315,ORD00315,Ekart Logistics,2024-07-19,2024-07-22,Delayed,3.0,2.0
DEL00316,ORD00316,Ekart Logistics,2024-10-30,2024-11-01,Delayed,2.0,1.0
DEL00317,ORD00317,Ecom Express,2024-08-29,2024-08-29,On Time,0.0,3.0
DEL00318,ORD00318,Ekart Logistics,2024-05-21,2024-05-21,On Time,0.0,4.0
DEL00319,ORD00319,Ecom Express,2024-12-12,2024-12-13,Delayed,1.0,1.0
DEL00320,ORD00320,Ekart Logistics,2024-12-22,,Cancelled,0.0,
DEL00321,ORD00321,Delhivery,2024-05-23,2024-05-23,On Time,0.0,5.0
DEL00322,ORD00322,Ecom Express,2024-07-10,2024-07-10,On Time,0.0,5.0
DEL00323,ORD00323,Ecom Express,2024-05-16,,Cancelled,0.0,
DEL00324,ORD00324,Delhivery,2024-07-17,2024-07-17,On Time,0.0,4.0
DEL00325,ORD00325,Ecom Express,2024-10-31,2024-11-02,Delayed,2.0,1.0
DEL00326,ORD00326,Delhivery,2024-12-26,2024-12-26,On Time,0.0,5.0
