ticket_id,order_id,customer_id,ticket_date,issue_category,issue_description,priority,ticket_status,resolution_days,customer_satisfaction_score,predicted_issue_category,predicted_priority,category_match,priority_match
TICK00110,ORD01818,CUST0788,2024-01-23,Refund,Refund amount is incorrect,Low,Closed,2.0,5.0,Refund,Low,True,True
TICK00111,ORD00576,CUST0043,2024-09-22,Product,Received damaged product and box was opened,Low,Closed,6.0,5.0,Product,High,True,False
TICK00112,ORD01638,CUST0320,2025-01-08,App/Website,App is crashing during checkout,Medium,Open,,,Payment,Low,False,False
TICK00113,ORD00644,CUST0325,2024-07-20,Payment,Cash on Delivery option is not available,Low,Closed,9.0,4.0,Delivery,Low,False,True
TICK00114,ORD02405,CUST0544,2024-01-18,Payment,Payment status is showing pending,High,Closed,7.0,3.0,Payment,Low,True,False
TICK00115,ORD00335,CUST0422,2024-06-27,Return,Return pickup has not been completed,Medium,Closed,3.0,2.0,Return,Medium,True,True
TICK00116,ORD00071,CUST0788,2024-03-02,Return,Return request is not getting approved,Medium,Open,,,Return,Medium,True,True
TICK00117,ORD01809,CUST0032,2024-04-19,Delivery,My order is delayed and I have not received any update,Low,Open,,,Delivery,Medium,True,False
TICK00118,ORD00948,CUST0714,2024-04-20,Product,Product is not working properly,Low,Open,,,Product,Low,True,True
TICK00119,ORD00746,CUST0782,2024-11-15,Refund,Refund amount is incorrect,Low,Closed,1.0,2.0,Refund,Low,True,True
TICK00120,ORD00605,CUST0587,2024-01-13,Return,Return request is not getting approved,Low,Closed,5.0,1.0,Return,Medium,True,False
TICK00121,ORD01658,CUST0649,2024-05-25,Product,Received damaged product and box was opened,Medium,Open,,,Product,High,True,False
TICK00122,ORD01457,CUST0623,2024-07-14,Product,Product is not working properly,Medium,Closed,9.0,3.0,Product,Low,True,False
TICK00123,ORD00606,CUST0764,2024-11-06,Delivery,My order is delayed and I have not received any update,Medium,Closed,5.0,2.0,Delivery,Medium,True,True
TICK00124,ORD01838,CUST0514,2024-06-17,Product,Product is not working properly,Low,Closed,6.0,5.0,Product,Low,True,True
TICK00125,ORD02117,CUST0424,2024-07-16,Payment,Payment status is showing pending,Medium,Open,,,Payment,Low,True,False
TICK00126,ORD00649,CUST0060,2024-06-08,Delivery,Order was delivered very late,Medium,Closed,3.0,2.0,Delivery,Medium,True,True
TICK00127,ORD01416,CUST0672,2024-03-19,App/Website,App is crashing during checkout,Medium,Closed,4.0,4.0,Payment,Low,False,False
TICK00128,ORD01187,CUST0424,2024-09-18,Refund,Refund status is not updated,Medium,Open,,,Refund,Low,True,False
TICK00129,ORD01581,CUST0254,2024-12-10,Payment,Payment failed but amount was deducted,Low,Closed,9.0,2.0,Payment,High,True,False
TICK00130,ORD00974,CUST0166,2024-02-22,Product,Received damaged product and box was opened,Medium,Escalated,8.0,,Product,High,True,False
TICK00131,ORD00065,CUST0424,2024-02-16,Payment,Unable to complete payment using UPI,Low,Closed,8.0,1.0,Payment,Low,True,True
TICK00132,ORD01363,CUST0126,2024-08-14,Payment,Unable to complete payment using UPI,Low,Closed,6.0,3.0,Payment,Low,True,True
TICK00133,ORD01247,CUST0644,2024-11-07,Delivery,Package tracking is not updating properly,High,Closed,1.0,1.0,Other,Low,False,False
TICK00134,ORD00322,CUST0764,2024-07-10,Product,Received damaged product and box was opened,Low,Escalated,9.0,,Product,High,True,False
TICK00135,ORD01439,CUST0450,2024-08-11,Product,Product quality is not good compared to description,Medium,Open,,,Product,Low,True,False
TICK00136,ORD01743,CUST0790,2024-01-29,Payment,Unable to complete payment using UPI,Medium,Closed,4.0,5.0,Payment,Low,True,False
TICK00137,ORD02048,CUST0373,2024-05-27,Delivery,Order was delivered very late,High,Closed,9.0,3.0,Delivery,Medium,True,False
TICK00138,ORD00496,CUST0479,2024-08-21,Return,I am unable to schedule return pickup,High,Closed,6.0,5.0,Return,Medium,True,False
TICK00139,ORD00278,CUST0356,2024-08-09,App/Website,Unable to login to my account,Low,Open,,,App/Website,Low,True,True
TICK00140,ORD01880,CUST0577,2024-08-02,Return,Return pickup has not been completed,Low,Closed,4.0,2.0,Return,Medium,True,False
TICK00141,ORD01811,CUST0182,2024-09-06,Return,I am unable to schedule return pickup,Low,Closed,8.0,1.0,Return,Medium,True,False
TICK00142,ORD01309,CUST0541,2024-05-16,Product,Product quality is not good compared to description,High,Open,,,Product,Low,True,False
TICK00143,ORD00833,CUST0109,2024-07-08,App/Website,Unable to login to my account,Medium,Escalated,6.0,,App/Website,Low,True,False
TICK00144,ORD02258,CUST0524,2024-02-22,App/Website,Coupon code is not applying,Low,Open,,,App/Website,Low,True,True
TICK00145,ORD01812,CUST0340,2024-03-24,App/Website,Product page is not loading properly,Medium,Closed,1.0,2.0,Product,Low,False,False
TICK00146,ORD00675,CUST0032,2024-12-19,Return,Return request is not getting approved,Low,Closed,4.0,4.0,Return,Medium,True,False
TICK00147,ORD01139,CUST0216,2024-05-01,Delivery,My order is delayed and I have not received any update,Low,Closed,3.0,1.0,Delivery,Medium,True,False
TICK00148,ORD01294,CUST0017,2024-02-11,Refund,Refund is delayed for more than one week,Medium,Open,,,Refund,Medium,True,True
TICK00149,ORD02268,CUST0517,2024-05-31,Delivery,Package tracking is not updating properly,Low,Closed,5.0,2.0,Other,Low,False,True
TICK00150,ORD00371,CUST0206,2024-11-09,Return,Return process is taking too much time,Low,Closed,3.0,3.0,Return,Medium,True,False
TICK00151,ORD02266,CUST0193,2024-11-14,Delivery,My order is delayed and I have not received any update,Low,Closed,3.0,5.0,Delivery,Medium,True,False
TICK00152,ORD01886,CUST0633,2024-09-26,Refund,Refund not received even after return pickup,High,Closed,8.0,5.0,Refund,High,True,True
TICK00153,ORD00141,CUST0578,2024-05-14,Product,Wrong product was delivered,Medium,Escalated,1.0,,Product,Low,True,False
TICK00154,ORD02073,CUST0725,2024-08-17,Return,Return request is not getting approved,Medium,Escalated,1.0,,Return,Medium,True,True
TICK00155,ORD02052,CUST0322,2024-03-06,Refund,Refund status is not updated,High,Closed,9.0,1.0,Refund,Low,True,False
TICK00156,ORD01246,CUST0096,2024-03-02,Payment,Unable to complete payment using UPI,Medium,Escalated,5.0,,Payment,Low,True,False
TICK00157,ORD00030,CUST0603,2024-12-10,Refund,Refund status is not updated,Low,Closed,9.0,1.0,Refund,Low,True,True
TICK00158,ORD02027,CUST0092,2024-06-24,Refund,Refund amount is incorrect,High,Open,,,Refund,Low,True,False
TICK00159,ORD01349,CUST0516,2024-03-27,Refund,Refund amount is incorrect,High,Closed,2.0,3.0,Refund,Low,True,False
TICK00160,ORD01292,CUST0292,2024-03-16,Return,Return pickup has not been completed,Medium,Closed,3.0,1.0,Return,Medium,True,True
TICK00161,ORD00822,CUST0222,2024-01-25,App/Website,App is crashing during checkout,Medium,Closed,4.0,1.0,Payment,Low,False,False
TICK00162,ORD02256,CUST0648,2024-10-24,Delivery,My order is delayed and I have not received any update,High,Closed,2.0,3.0,Delivery,Medium,True,False
TICK00163,ORD00010,CUST0397,2024-10-03,Refund,Refund status is not updated,Medium,Open,,,Refund,Low,True,False
TICK00164,ORD01494,CUST0276,2024-12-13,Delivery,Package tracking is not updating properly,Low,Closed,5.0,4.0,Other,Low,False,True
TICK00165,ORD00802,CUST0718,2025-01-08,Refund,Refund not received even after return pickup,Low,Escalated,1.0,,Refund,High,True,False
TICK00166,ORD01606,CUST0621,2024-06-09,Refund,Refund amount is incorrect,Low,Closed,5.0,3.0,Refund,Low,True,True
TICK00167,ORD01388,CUST0557,2024-10-24,Payment,Cash on Delivery option is not available,Low,Closed,5.0,5.0,Delivery,Low,False,True
TICK00168,ORD01955,CUST0264,2024-03-09,Refund,Refund is delayed for more than one week,Low,Open,,,Refund,Medium,True,False
TICK00169,ORD00582,CUST0294,2024-09-22,Refund,Refund not received even after return pickup,Low,Closed,7.0,1.0,Refund,High,True,False
TICK00170,ORD02408,CUST0102,2024-04-07,Product,Product quality is not good compared to description,Low,Closed,6.0,1.0,Product,Low,True,True
TICK00171,ORD02137,CUST0739,2024-08-14,Payment,Payment status is showing pending,Low,Closed,7.0,3.0,Payment,Low,True,True
TICK00172,ORD00889,CUST0316,2024-01-15,App/Website,Unable to login to my account,Low,Closed,2.0,3.0,App/Website,Low,True,True
TICK00173,ORD01520,CUST0751,2024-03-04,Payment,Payment failed but amount was deducted,Low,Open,,,Payment,High,True,False
TICK00174,ORD00137,CUST0055,2024-07-08,Return,Return pickup has not been completed,Medium,Closed,8.0,3.0,Return,Medium,True,True
TICK00175,ORD01858,CUST0583,2024-01-12,App/Website,Coupon code is not applying,Medium,Closed,8.0,4.0,App/Website,Low,True,False
TICK00176,ORD00099,CUST0473,2024-08-04,Delivery,Delivery partner did not call before marking delivery failed,Low,Escalated,4.0,,Delivery,Low,True,True
TICK00177,ORD01431,CUST0503,2024-08-16,App/Website,Coupon code is not applying,Low,Closed,8.0,1.0,App/Website,Low,True,True
TICK00178,ORD00337,CUST0629,2024-12-24,Refund,Refund amount is incorrect,High,Open,,,Refund,Low,True,False
TICK00179,ORD00778,CUST0450,2024-08-23,Refund,Refund is delayed for more than one week,Low,Closed,6.0,5.0,Refund,Medium,True,False
TICK00180,ORD00187,CUST0746,2024-02-16,Refund,Refund is delayed for more than one week,Low,Escalated,9.0,,Refund,Medium,True,False
TICK00181,ORD02459,CUST0688,2024-06-15,Product,Product quality is not good compared to description,High,Open,,,Product,Low,True,False
TICK00182,ORD01702,CUST0144,2024-09-10,Product,Wrong product was delivered,Low,Open,,,Product,Low,True,True
TICK00183,ORD01837,CUST0634,2024-04-09,Return,Return pickup has not been completed,Medium,Closed,8.0,3.0,Return,Medium,True,True
TICK00184,ORD00745,CUST0614,2024-08-21,App/Website,Unable to login to my account,Low,Closed,9.0,5.0,App/Website,Low,True,True
TICK00185,ORD00266,CUST0771,2024-10-25,Delivery,Package tracking is not updating properly,Medium,Closed,6.0,5.0,Other,Low,False,False
TICK00186,ORD00527,CUST0536,2024-08-10,Return,I am unable to schedule return pickup,High,Closed,3.0,3.0,Return,Medium,True,False
TICK00187,ORD02191,CUST0025,2024-09-08,Payment,Cash on Delivery option is not available,Medium,Closed,4.0,4.0,Delivery,Low,False,False
TICK00188,ORD00438,CUST0338,2024-11-06,App/Website,Product page is not loading properly,Medium,Closed,5.0,5.0,Product,Low,False,False
TICK00189,ORD01301,CUST0742,2024-08-19,Product,Wrong product was delivered,Medium,Closed,5.0,2.0,Product,Low,True,False
TICK00190,ORD01590,CUST0459,2024-08-07,Delivery,Delivery partner did not call before marking delivery failed,Low,Closed,2.0,4.0,Delivery,Low,True,True
TICK00191,ORD02243,CUST0446,2024-04-01,Payment,Cash on Delivery option is not available,Low,Closed,8.0,4.0,Delivery,Low,False,True
TICK00192,ORD00993,CUST0338,2024-11-30,App/Website,App is crashing during checkout,Medium,Closed,2.0,5.0,Payment,Low,False,False
TICK00193,ORD02265,CUST0328,2024-09-09,Payment,Unable to complete payment using UPI,High,Open,,,Payment,Low,True,False
TICK00194,ORD01843,CUST0202,2024-07-07,Product,Product is not working properly,Medium,Closed,4.0,1.0,Product,Low,True,False
TICK00195,ORD00116,CUST0721,2024-10-27,Return,Return process is taking too much time,Medium,Closed,1.0,5.0,Return,Medium,True,True
TICK00196,ORD00751,CUST0398,2024-12-09,Return,Return process is taking too much time,High,Closed,2.0,1.0,Return,Medium,True,False
TICK00197,ORD01981,CUST0544,2024-10-02,App/Website,Product page is not loading properly,Medium,Open,,,Product,Low,False,False
TICK00198,ORD02133,CUST0350,2024-05-09,Return,I am unable to schedule return pickup,Medium,Closed,8.0,4.0,Return,Medium,True,True
TICK00199,ORD01367,CUST0499,2024-06-01,Delivery,Delivery partner did not call before marking delivery failed,Low,Closed,8.0,1.0,Delivery,Low,True,True
TICK00200,ORD00920,CUST0457,2024-03-12,Refund,Refund amount is incorrect,Low,Open,,,Refund,Low,True,True
TICK00201,ORD02307,CUST0190,2024-03-03,Refund,Refund amount is incorrect,Medium,Open,,,Refund,Low,True,False
TICK00202,ORD02281,CUST0290,2024-06-27,Return,Return process is taking too much time,Low,Closed,4.0,4.0,Return,Medium,True,False
TICK00203,ORD00638,CUST0535,2024-04-18,Refund,Refund status is not updated,Medium,Closed,6.0,4.0,Refund,Low,True,False
TICK00204,ORD00458,CUST0657,2024-04-11,App/Website,App is crashing during checkout,Low,Closed,5.0,2.0,Payment,Low,False,True
TICK00205,ORD01183,CUST0144,2024-03-10,App/Website,App is crashing during checkout,Low,Closed,6.0,2.0,Payment,Low,False,True
TICK00206,ORD00699,CUST0202,2024-04-02,App/Website,Coupon code is not applying,Low,Escalated,8.0,,App/Website,Low,True,True
TICK00207,ORD01271,CUST0106,2024-11-05,Payment,Unable to complete payment using UPI,Medium,Closed,8.0,4.0,Payment,Low,True,False
TICK00208,ORD00346,CUST0034,2024-12-12,App/Website,Unable to login to my account,High,Closed,9.0,5.0,App/Website,Low,True,False
TICK00209,ORD00913,CUST0330,2024-01-21,Product,Product quality is not good compared to description,High,Escalated,7.0,,Product,Low,True,False
TICK00210,ORD01938,CUST0087,2024-12-06,Product,Received damaged product and box was opened,High,Closed,9.0,1.0,Product,High,True,True
TICK00211,ORD00424,CUST0327,2024-02-09,Return,Return process is taking too much time,Medium,Closed,9.0,2.0,Return,Medium,True,True
TICK00212,ORD01964,CUST0050,2024-04-23,Product,Product is not working properly,Low,Open,,,Product,Low,True,True
TICK00213,ORD00989,CUST0674,2024-12-11,Payment,Unable to complete payment using UPI,Low,Open,,,Payment,Low,True,True
TICK00214,ORD00011,CUST0299,2024-08-21,Product,Received damaged product and box was opened,Medium,Closed,9.0,3.0,Product,High,True,False
